LINK,SCHOOL,LAT,LONG,NAME,CONFERENCE,COLOR_SOURCE,R0,G0,B0,HEX0,R1,G1,B1,HEX1,R2,G2,B2,HEX2,R3,G3,B3,HEX3,R4,G4,B4,HEX4
https://en.wikipedia.org/wiki/University_of_Iowa,Iowa,41.66167,-91.53639,Hawkeyes,Big Ten,http://uilicensing.com/resources/iowa-brands-standard-manual/,255,194,13,#FFC20D,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Kansas,Kansas,38.9584,-95.2478,Jayhawks,Big 12,https://brand.ku.edu/guidelines/color,0,81,186,#0051BA,232,0,13,#E8000D,255,200,45,#FFC82D,133,127,138,#857F8A,,,,
https://en.wikipedia.org/wiki/University_of_Kentucky,Kentucky,38.0325,-84.5025,Wildcats,SEC,https://kty-platform-secure-prod.silverchalice.co/v3/files/56b4afd4e4b0df6d856076fa,0,51,160,#0033A0,200,201,199,#C8C9C7,165,172,175,#A5ACAF,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Louisiana_at_Lafayette,Louisiana,30.213,-92.019,Ragin' Cajuns,Sun Belt,http://ocm.louisiana.edu/sites/communicationsandmarketing/files/Brand_Culture_Guide_July2015.pdf,206,24,30,#CE181E,241,140,33,#F18C21,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Louisiana_at_Monroe,Louisiana–Monroe,32.527,-92.074,Warhawks,Sun Belt,http://www.ulm.edu/identitystandards/,128,0,41,#800029,190,149,91,#BE955B,100,101,105,#646569,169,168,169,#A9A8A9,224,202,163,#E0CAA3
https://en.wikipedia.org/wiki/University_of_Louisville,Louisville,38.21595553,-85.76145366,Cardinals,ACC,http://louisville.edu/brand/color/primary,227,27,35,#E31B23,253,185,19,#FDB913,209,211,212,#D1D3D4,,,,,,,,
"https://en.wikipedia.org/wiki/University_of_Maryland,_College_Park",Maryland,38.988,-76.943,Terrapins,Big Ten,https://brand.umd.edu/athleticidentity.html,224,58,62,#E03A3E,255,213,32,#FFD520,179,118,50,#B37632,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst,UMass,42.38889,-72.52778,Minutemen,MAC,https://www.umass.edu/brand/elements/color,136,28,28,#881C1C,221,222,224,#DDDEE0,148,121,93,#94795D,99,102,106,#63666A,172,163,154,#ACA39A
https://en.wikipedia.org/wiki/University_of_Memphis,Memphis,35.11889,-89.93722,Tigers,American,http://www.memphis.edu/logo/elements/colors.php,0,48,135,#003087,137,141,141,#898D8D,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Miami,Miami (FL),25.7216,-80.2793,Hurricanes,ACC,http://www6.miami.edu/umidentity/downloads/UMiami_IDguide_March_2015.pdf,0,80,48,#005030,244,115,33,#F47321,137,150,160,#8996A0,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Michigan,Michigan,42.27694,-83.73806,Wolverines,Big Ten,http://vpcomm.umich.edu/brand/style-guide/design-principles/colors,255,203,5,#FFCB05,0,39,76,#00274C,207,192,150,#CFC096,101,90,82,#655A52,152,156,151,#989C97
https://en.wikipedia.org/wiki/University_of_Minnesota,Minnesota,44.975,-93.23528,Golden Gophers,Big Ten,https://university-relations.umn.edu/resources/colors-and-type,255,204,51,#FFCC33,122,0,25,#7A0019,235,235,235,#EBEBEB,208,238,244,#D0EEF4,204,204,204,#CCCCCC
https://en.wikipedia.org/wiki/University_of_Mississippi,Ole Miss,34.36610077,-89.53511019,Rebels,SEC,http://csm.olemiss.edu/licensing/,200,16,46,#C8102E,0,32,91,#00205B,117,120,123,#75787B,128,188,233,#80BCE9,,,,
https://en.wikipedia.org/wiki/University_of_Missouri,Missouri,38.9453,-92.3288,Tigers,SEC,http://identity.missouri.edu/graphic-identity-standards/3-color/3.1-official-mu-colors.php,241,184,45,#F1B82D,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln,Nebraska,40.82029393,-96.70050851,Cornhuskers,Big Ten,https://licensing.unl.edu/downloads/201709-unl-athletics-brand-guide.pdf,227,25,55,#E31937,253,242,217,#FDF2D9,199,200,202,#C7C8CA,253,183,26,#FDB71A,0,126,15,#007E0F
"https://en.wikipedia.org/wiki/University_of_Nevada,_Las_Vegas",UNLV,36.10769534,-115.1435574,Rebels,Mountain West,http://grfx.cstv.com/photos/schools/unlv/genrel/auto_pdf/2014-15/misc_non_event/unlv-style-guide.pdf,177,2,2,#B10202,102,102,102,#666666,,,,,,,,,,,,
"https://en.wikipedia.org/wiki/University_of_Nevada,_Reno",Nevada,39.53778,-119.81389,Wolf Pack,Mountain West,http://www.unr.edu/marcom/university-identity/logos/approved-colors,0,46,98,#002E62,128,127,132,#807F84,142,146,149,#8E9295,,,,,,,,
https://en.wikipedia.org/wiki/University_of_New_Mexico,New Mexico,35.08519621,-106.6199529,Lobos,Mountain West,http://sidearm.sites.s3.amazonaws.com/unm.sidearmsports.com/documents/2015/7/24/New_Mexico_Artwork.pdf,183,18,52,#B71234,195,200,200,#C3C8C8,0,139,149,#008B95,118,106,101,#766A65,,,,
https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill,North Carolina,35.90861,-79.04917,Tar Heels,ACC,http://goheels.com/fls/3350/15athgen/CarolinaAthletics_BrandingGuidelines-Final.pdf,123,175,212,#7BAFD4,19,41,75,#13294B,141,144,146,#8D9092,162,170,173,#A2AAAD,44,42,41,#2C2A29
https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Charlotte,Charlotte,35.30725923,-80.73520692,49ers,C-USA,http://advancement.uncc.edu/sites/advancement.uncc.edu/files/media/identity-standards-guide.pdf,0,112,60,#00703C,240,203,0,#F0CB00,90,60,30,#5A3C1E,160,160,160,#A0A0A0,,,,
https://en.wikipedia.org/wiki/University_of_North_Texas,North Texas,33.20972,-97.15,Mean Green,C-USA,https://identityguide.unt.edu/create-our-look/color,5,144,51,#059033,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Notre_Dame,Notre Dame,41.7,-86.23889,Fighting Irish,Independent,http://onmessage.nd.edu/university-branding/colors/,12,35,64,#0C2340,201,151,0,#C99700,174,143,64,#AE8F40,,,,,,,,
