Stadium,City,State,Team,Conference,Capacity,Surface
Jones AT&T Stadium and Cody Campbell Field,Lubbock,TX,Texas Tech,Big 12,60862,FieldTurf
JPS Field at Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,30427,FieldTurf
Kramer/Deromedi Field at Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,30255,FieldTurf
Kenan Memorial Stadium,Chapel Hill,NC,North Carolina,ACC,51000,AstroTurf
Kidd Brewer Stadium,Boone,NC,Appalachian State,Sun Belt,30000,FieldTurf
Nile Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,69250,FieldTurf
Kornblau Field at S.B. Ballard Stadium,Norfolk,VA,Old Dominion,Sun Belt,22480,AstroTurf GameDay Grass 3D
Kroger Field at C.M. Newton Grounds,Lexington,KY,Kentucky,SEC,61000,Artificial Turf
Kyle Field,College Station,TX,Texas A&M,SEC,102733,Grass
Lane Stadium/Worsham Field,Blacksburg,VA,Virginia Tech,ACC,66233,Grass
LaVell Edwards Stadium,Provo,UT,BYU,Big 12,63470,Grass
Lincoln Financial Field,Philadelphia,PA,Temple,American,68532,Desso GrassMaster
Los Angeles Memorial Coliseum,Los Angeles,CA,USC,Pac-12,77500,Grass
Mackay Stadium,Reno,NV,Nevada,Mountain West,27000,FieldTurf
Martin Stadium,Pullman,WA,Washington State,Pac-12,32248,FieldTurf
McColl–Richardson Field at Jerry Richardson Stadium,Charlotte,NC,Charlotte,American,15314,Matrix Artificial Turf
McLane Stadium,Waco,TX,Baylor,Big 12,45140,Matrix Artificial Turf
Memorial Stadium,Champaign,IL,Illinois,Big Ten,60670,FieldTurf
Memorial Stadium,Bloomington,IN,Indiana,Big Ten,52959,FieldTurf Revolution 360
Memorial Stadium Tom Osborne Field,Lincoln,NE,Nebraska,Big Ten,85458,FieldTurf
Merlin Olsen Field at Maverik Stadium,Logan,UT,Utah State,Mountain West,25513,AstroTurf GameDay Grass 3D60 Extreme
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,107601,FieldTurf Duraspine
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,60000,FieldTurf
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,American,34000,FieldTurf Revolution
Neyland Stadium,Knoxville,TN,Tennessee,SEC,101915,Grass
Nippert Stadium,Cincinnati,OH,Cincinnati,Big 12,38088,UBU Sports Speed M6-M
